likes,engagement,comments_ratio,followers,following,hour,time_of_day_bin,weekend,caption_length,hashtag,tag,location,video,multiple_images
33,2.222521551724138e-4,3.367456896551724e-5,148480,1459,9,Morning (5–11am),0,67,0,1,0,1,0
3595,0.010970466710202686,1.7088905028410305e-4,327698,3086,9,Morning (5–11am),0,152,0,1,1,0,0
1096,0.01854734989507886,7.107561091179855e-4,59092,400,13,Afternoon (12–4pm),0,749,1,1,0,0,1
164628,0.12122515251816043,9.1529305209365e-4,1358035,873,10,Morning (5–11am),0,111,1,0,1,1,0
29661,0.0013189030227206513,9.604634129249206e-6,22489144,751,19,Evening (5–8pm),0,44,0,1,0,1,0
934,0.002132980120351234,4.3390387887230666e-5,437885,1433,14,Afternoon (12–4pm),1,769,1,0,0,1,0
779,0.004241002161332295,8.166242929394664e-5,183683,1372,10,Morning (5–11am),0,170,1,1,1,1,0
3999,0.0026380924988191586,1.1214696794179969e-5,1515868,297,18,Evening (5–8pm),1,112,0,1,0,0,1
52053,0.0029124963623869946,1.7003969887026833e-4,17872297,4500,14,Afternoon (12–4pm),0,80,0,0,0,0,0
93509,0.15701732733534499,0.0027723064884733507,595533,1017,8,Morning (5–11am),1,0,NA,NA,0,1,0
1074,8.027967825340124e-4,5.232381264188162e-6,1337823,3,11,Morning (5–11am),0,440,1,1,0,1,0
571,0.0021029990755643295,1.289053724076209e-4,271517,329,22,Night (9pm–4am),0,197,1,1,1,0,1
235,0.07546563904945408,0,3114,402,19,Evening (5–8pm),0,39,0,0,0,0,1
555,0.003450526904784109,3.730299356523361e-5,160845,5921,18,Evening (5–8pm),0,142,1,0,1,0,0
18908,0.015589906632059074,7.090818544304424e-5,1212836,270,18,Evening (5–8pm),0,52,0,0,1,0,1
21462,0.02796402800832849,1.7329306332623657e-4,767486,1716,12,Afternoon (12–4pm),1,21,0,1,0,0,1
477,9.226198535413516e-4,2.5144775882678345e-5,517006,913,0,Night (9pm–4am),0,1578,0,1,0,0,1
1292,0.0014589111012746276,1.1291881588812908e-5,885592,2477,14,Afternoon (12–4pm),0,48,0,1,1,1,0
4502,0.008082135464633027,2.136326344494292e-4,557031,911,9,Morning (5–11am),0,70,0,0,1,0,1
625,0.0025513224014271077,5.306750594968384e-5,244971,1302,10,Morning (5–11am),1,114,1,1,1,1,0
2473,7.567335670547641e-4,2.3561861974612554e-5,3267993,3,6,Morning (5–11am),0,63,0,0,0,0,0
21170,0.015819840635842512,2.794813603120028e-4,1338193,398,2,Night (9pm–4am),0,123,1,1,1,1,0
5440,0.001141282843875444,3.7763035275290427e-6,4766566,731,15,Afternoon (12–4pm),1,43,0,0,1,0,1
27,0.00788091068301226,2.918855808523059e-4,3426,3237,16,Afternoon (12–4pm),0,231,0,1,1,1,0
5579,0.02328551573306176,3.965090508408079e-4,239591,477,16,Afternoon (12–4pm),0,352,1,0,1,0,0
53,0.014767344664251881,8.358874338255781e-4,3589,650,0,Night (9pm–4am),0,112,0,0,1,1,0
865,0.004112193962443547,1.4737342524364156e-4,210350,1167,1,Night (9pm–4am),0,96,1,0,0,0,1
571,8.11949161459859e-4,3.953097493622431e-4,703246,885,21,Night (9pm–4am),0,551,1,1,1,1,0
81,1.8584503277526288e-4,6.8831493620467735e-6,435847,413,19,Evening (5–8pm),0,23,0,0,1,0,0
2119,0.0041635392638060915,1.3754023051742634e-5,508942,5527,5,Morning (5–11am),0,245,1,1,0,1,0
13763,0.008031155960112061,1.2195826459808333e-4,1713701,1848,16,Afternoon (12–4pm),0,47,0,0,0,0,1
158,0.0015245667528657996,1.157898799644911e-4,103636,653,8,Morning (5–11am),1,865,0,0,0,1,0
2447,0.012903531992533142,9.649964669528259e-4,189638,2640,14,Afternoon (12–4pm),0,1057,1,0,1,0,0
6662,0.010852124732647107,9.44796209086659e-5,613889,1019,19,Evening (5–8pm),0,202,0,1,1,0,1
